Data for use in defining HIGH-range UV particle absorption (phytoplankton plus detritus)
in the "new Case 1 IOP model":
   ap(wave) = A(wave)*[chl]^E(wave)
Based on
Bricaud et al., 1998, JGR 103(C13), 31033-31044 for 400-1000 nm
Vasilkov, et al., 2005, Applied Optics Vol 44, No. 14, pp2863-2869
Morrison and Nelson, 2004, L&O 49(1), 215-224. 
See the discussion of the new Case 1 IOP model for details. 
This file is formatted for use in HydroLight-EcoLight version 5.
  lambda      A         E
   300.0    0.1056    0.8524
   302.0    0.1092    0.8515
   304.0    0.1120    0.8507
   306.0    0.1145    0.8498
   308.0    0.1166    0.8483
   310.0    0.1175    0.8453
   312.0    0.1181    0.8423
   314.0    0.1177    0.8378
   316.0    0.1169    0.8318
   318.0    0.1159    0.8258
   320.0    0.1141    0.8198
   322.0    0.1117    0.8138
   324.0    0.1089    0.8078
   326.0    0.1056    0.8018
   328.0    0.1018    0.7973
   330.0    0.0982    0.7943
   332.0    0.0945    0.7898
   334.0    0.0909    0.7867
   336.0    0.0870    0.7852
   338.0    0.0828    0.7822
   340.0    0.0780    0.7792
   342.0    0.0723    0.7762
   344.0    0.0661    0.7747
   346.0    0.0596    0.7732
   348.0    0.0533    0.7717
   350.0    0.0479    0.7702
   352.0    0.0431    0.7687
   354.0    0.0394    0.7672
   356.0    0.0365    0.7657
   358.0    0.0342    0.7627
   360.0    0.0328    0.7597
   362.0    0.0319    0.7567
   364.0    0.0316    0.7537
   366.0    0.0314    0.7462
   368.0    0.0318    0.7462
   370.0    0.0321    0.7417
   372.0    0.0327    0.7387
   374.0    0.0337    0.7357
   376.0    0.0347    0.7327
   378.0    0.0357    0.7297
   380.0    0.0367    0.7267
   382.0    0.0376    0.7237
   384.0    0.0385    0.7207
   386.0    0.0391    0.7177
   388.0    0.0397    0.7162
   390.0    0.0403    0.7132
   392.0    0.0409    0.7117
   394.0    0.0413    0.7102
   396.0    0.0419    0.7087
   398.0    0.0425    0.7057
   400.0    0.0433    0.7026
   402.0    0.0438    0.7001
   404.0    0.0443    0.6971
   406.0    0.0451    0.6940
   408.0    0.0458    0.6916
   410.0    0.0467    0.6882
   412.0    0.0473    0.6862
   414.0    0.0480    0.6816
   416.0    0.0486    0.6782
   418.0    0.0491    0.6746
   420.0    0.0495    0.6712
   422.0    0.0496    0.6649
   424.0    0.0497    0.6589
   426.0    0.0501    0.6557
   428.0    0.0506    0.6537
   430.0    0.0513    0.6543
   432.0    0.0516    0.6500
   434.0    0.0517    0.6451
   436.0    0.0520    0.6401
   438.0    0.0520    0.6358
   440.0    0.0520    0.6350
   442.0    0.0514    0.6298
   444.0    0.0505    0.6232
   446.0    0.0495    0.6186
   448.0    0.0486    0.6144
   450.0    0.0479    0.6151
   452.0    0.0471    0.6131
   454.0    0.0462    0.6101
   456.0    0.0456    0.6096
   458.0    0.0449    0.6096
   460.0    0.0446    0.6124
   462.0    0.0439    0.6128
   464.0    0.0433    0.6121
   466.0    0.0427    0.6119
   468.0    0.0421    0.6119
   470.0    0.0415    0.6129
   472.0    0.0407    0.6111
   474.0    0.0399    0.6084
   476.0    0.0391    0.6066
   478.0    0.0384    0.6052
   480.0    0.0377    0.6065
   482.0    0.0370    0.6064
