Lambda	Royal Blue	Eau-de-nil	Arctic Blue	MSG	NATO Green	Azure Blue
360	5	6	20	13	5.74	6.25
370	5.13	8	22	16	5.96	6.98
380	5.23	11	24	19	6.34	8.42
390	5.33	15	27	22	6.81	11.07
400	5.43	19.36	30.71	25.04	7.14	14.62
410	5.34	21.48	38.66	28.84	7.21	16.86
420	5.29	22.16	40.95	29.41	7.21	17.55
430	5.22	22.91	41.63	29.38	7.27	18.30
440	5.14	23.99	42.37	29.43	7.35	19.04
450	5	25.04	43.2	29.53	7.47	19.60
460	4.79	25.97	43.82	29.55	7.64	19.34
470	4.6	27.19	44.68	29.41	7.83	18.58
480	4.44	29.39	46.22	28.95	7.95	17.35
490	4.31	33.14	47.64	28.04	8.02	16.01
500	4.21	38.92	48.21	27.65	8.30	14.75
510	4.14	45.39	47.78	28.96	9.60	13.23
520	4.07	50.37	45.2	30.2	10.66	11.40
530	3.94	53.17	40.45	29.64	10.36	9.87
540	3.83	53.5	35.63	28.8	10.10	8.75
550	3.76	51.12	31.17	27.94	10.00	7.74
560	3.73	46.98	26.84	26.37	9.59	6.87
570	3.7	43.07	23.63	25.15	9.41	6.44
580	3.69	40.84	22.02	25.23	9.73	6.29
590	3.72	39.93	21.21	26.13	10.38	6.23
600	3.72	39.96	20.52	26.6	10.57	6.16
610	3.74	38.97	19.95	25.93	10.03	6.12
620	3.79	39.06	19.87	24.66	9.30	6.18
630	3.85	39.89	20.46	24.1	9.15	6.33
640	3.94	41.28	21.57	24.83	9.61	6.52
650	4.02	42.76	22.75	26.62	10.50	6.68
660	4.07	43.7	23.52	28.78	11.60	6.80
670	4.05	43.54	23.4	30.24	12.99	6.73
680	4.01	42.36	22.42	30.55	14.36	6.54
690	3.95	41.13	21.42	30.03	15.73	6.42
700	3.94	40.68	21.05	28.8	16.70	6.45
