	SMARTS_ChKur	SMARTS_Gueymard	SMARTS_newKur	SMARTS_oldKur	SMARTS_ThKur	SMARTS_Wehrli_WRC85	SMARTS_CebChKur		Wave 			"Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May 2003"	
280.0	0.07525	0.082	0.0482	0.07257	0.0805	0.04809	0.08244		nm	Theakakara-NASA 1973		"Reference: C. Gueymard, ""THE SUN‚S TOTAL AND SPECTRAL IRRADIANCE FOR SOLAR ENERGY APPLICATIONS AND SOLAR RADIATION MODELS"", submitted to Solar Energy, 2003."	
280.5	0.09368	0.099	0.04581	0.08926	0.09801	0.04601	0.10421		115	0.000007		"1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm"	
281.0	0.16849	0.15	0.15343	0.16228	0.14407	0.1533	0.15583		120	0.0009		2nd column: irradiance (W/m2 nm)	
281.5	0.24333	0.212	0.24478	0.23379	0.20619	0.24498	0.22006		125	0.000007		Number of wavelengths: 2460	
282.0	0.30961	0.267	0.35209	0.29656	0.26076	0.35305	0.27439		130	0.000007		"Resolution: variable, approximately equal to spectral step"	
282.5	0.33599	0.303	0.37453	0.32481	0.2974	0.37372	0.31067		140	0.00003		Total irradiance (solar constant)=1366.1 W/m2	
283.0	0.38523	0.325	0.41884	0.36993	0.31731	0.41895	0.3296		150	0.00007		Wavelength (nm)	NewGuey W/(m2 nm)
283.5	0.34971	0.323	0.31886	0.33743	0.32148	0.3194	0.33147		160	0.00023		0.5	2.28E-06
284.0	0.37692	0.299	0.32787	0.36456	0.30605	0.327	0.31155		170	0.00063		1.5	1.22E-04
284.5	0.31091	0.25024	0.18605	0.3012	0.25394	0.18631	0.25024		180	0.00125		2.5	1.51E-05
285.0	0.14601	0.17589	0.08197	0.14147	0.17742	0.08194	0.17589		190	0.0027		3.5	2.52E-05
285.5	0.11475	0.155	0.06044	0.11137	0.16148	0.06064	0.175		200	0.0107		4.5	3.71E-05
286.0	0.31942	0.242	0.20482	0.3079	0.23788	0.20473	0.2584		210	0.0229		5.5	4.61E-05
286.5	0.41393	0.333	0.30958	0.40122	0.32199	0.30948	0.33907		220	0.0575		6.5	4.37E-05
287.0	0.39186	0.362	0.40814	0.37764	0.36006	0.40927	0.37115		225	0.0649		7.5	3.12E-05
287.5	0.42946	0.339	0.46296	0.4146	0.3533	0.46132	0.35477		230	0.0667		8.5	2.83E-05
288.0	0.29994	0.311	0.33758	0.28903	0.31662	0.33858	0.32219		235	0.0593		9.5	1.65E-05
288.5	0.3677	0.325	0.42086	0.35144	0.32394	0.42339	0.34196		240	0.063		10.5	6.77E-06
289.0	0.4656	0.392	0.53355	0.44648	0.39002	0.53163	0.41224		245	0.0723		11.5	3.36E-06
289.5	0.52554	0.479	0.50681	0.50026	0.4678	0.5103	0.49677		250	0.0704		12.5	1.76E-06
290.0	0.69562	0.563	0.6923	0.66047	0.55369	0.68756	0.58207		255	0.104		13.5	1.96E-06
